885987,0.016,-0.094,9.73
886017,-0.004,-0.102,9.724
886047,0.02,-0.118,9.72
886077,0.034,-0.124,9.736
886107,0.01,-0.118,9.71
886137,0.032,-0.126,9.73
886167,0.008,-0.104,9.718
886197,0.004,-0.11,9.706
886227,0.028,-0.104,9.732
886257,0.018,-0.1,9.76
886286,0.002,-0.106,9.766
886316,-0.022,-0.098,9.73
886346,-0.004,-0.1,9.738
886376,0.054,-0.11,9.736
886407,0.026,-0.126,9.706
886437,0.016,-0.106,9.724
886467,0,-0.102,9.732
886497,0.004,-0.124,9.734
886527,0.026,-0.114,9.752
886557,0.038,-0.142,9.756
886588,0.014,-0.114,9.716
886618,0.002,-0.098,9.712
886648,0.034,-0.11,9.742
886678,0.022,-0.114,9.736
886707,0.034,-0.106,9.706
886737,0.006,-0.118,9.718
886767,-0.006,-0.154,9.758
886798,0.076,-0.08,9.778
886828,0.014,-0.098,9.722
886858,-0.04,-0.142,9.772
886887,0.028,-0.098,9.742
886917,0.064,-0.074,9.762
886947,-0.012,-0.128,9.76
886977,0,-0.074,9.75
887007,0.064,-0.06,9.728
887037,0.002,-0.16,9.726
887067,0.05,-0.128,9.726
887098,0,-0.042,9.746
887128,0.01,-0.146,9.72
887158,-0.002,-0.128,9.712
887188,0.07,-0.094,9.752
887218,-0.008,-0.102,9.738
887248,-0.004,-0.152,9.726
887278,-0.04,-0.1,9.738
887308,0.076,0.004,9.692
887338,0.056,-0.22,9.514
887368,-0.024,-0.214,9.512
887398,0.006,-0.012,9.456
887428,-0.062,-0.134,9.744
887458,0.02,-0.174,9.872
887489,0.16,-0.022,9.824
887519,0.022,-0.154,9.702
887549,-0.058,-0.172,9.662
887579,-0.002,-0.004,9.714
887608,0.006,-0.076,9.766
887638,0.032,-0.22,9.758
887668,0.08,-0.098,9.714
887699,0.024,-0.06,9.75
887729,-0.08,-0.132,9.736
887759,-0.004,-0.082,9.758
887789,0.116,-0.076,9.732
887819,0.022,-0.164,9.72
887849,-0.01,-0.146,9.724
887879,0,-0.016,9.75
887909,-0.034,-0.128,9.712
887939,0.052,-0.158,9.716
887969,0.098,-0.076,9.756
887999,0.02,-0.118,9.744
888029,-0.074,-0.11,9.744
888059,0.026,-0.076,9.734
888089,0.058,-0.118,9.736
888119,0.022,-0.196,9.73
888149,0.024,-0.082,9.744
888179,-0.022,-0.042,9.734
888209,-0.044,-0.12,9.736
888239,0.054,-0.112,9.698
888269,0.106,-0.092,9.738
888299,0.01,-0.152,9.73
888329,-0.022,-0.08,9.704
888359,-0.022,-0.07,9.734
888390,0.014,-0.142,9.748
888420,0.07,-0.152,9.754
888450,0.074,-0.122,9.744
888480,0.016,-0.1,9.706
888510,-0.028,-0.096,9.708
888540,-0.016,-0.08,9.734
888570,0.034,-0.122,9.732
888600,0.06,-0.128,9.734
888630,0.028,-0.11,9.718
888660,0,-0.114,9.766
888690,-0.04,-0.094,9.724
888720,0.014,-0.112,9.748
888750,0.048,-0.116,9.754
888780,0.042,-0.14,9.75
888810,0.002,-0.096,9.768
888840,-0.028,-0.086,9.726
888870,0,-0.106,9.742
888900,0.052,-0.118,9.756
888930,0.02,-0.134,9.76
888960,0.016,-0.098,9.726
888990,0.012,-0.092,9.736
889020,-0.012,-0.09,9.736
889050,0.02,-0.098,9.734
889080,0.02,-0.124,9.738
889110,0.026,-0.114,9.726
889140,-0.03,-0.1,9.772
889170,0.008,-0.116,9.742
889201,0,-0.118,9.736
889231,0.022,-0.1,9.742
889261,0.016,-0.11,9.742
889291,0,-0.104,9.738
889321,0.004,-0.1,9.726
889351,0.022,-0.132,9.75
889381,0.006,-0.118,9.714
889411,0.002,-0.086,9.722
889441,0,-0.1,9.752
889471,0.006,-0.118,9.752
889501,0.026,-0.116,9.74
889531,0.022,-0.12,9.744
889561,0.002,-0.106,9.724
889591,-0.008,-0.11,9.742
889621,-0.002,-0.098,9.742
889651,0.02,-0.106,9.732
889681,-0.004,-0.094,9.698
889711,0.02,-0.114,9.704
889741,0.028,-0.098,9.734
889771,0.026,-0.082,9.796
889801,0.014,-0.106,9.748
889831,0.004,-0.086,9.722
889861,0.032,-0.114,9.75
889891,0.022,-0.124,9.758
889921,0.022,-0.118,9.74
889951,0.004,-0.086,9.746
889981,0.014,-0.1,9.734
890012,0,-0.114,9.738
890042,0.026,-0.11,9.76
890072,0.008,-0.1,9.732
890102,0.006,-0.122,9.742
890132,0.024,-0.104,9.756
890162,0.012,-0.118,9.756
890192,0.016,-0.11,9.744
890222,0.038,-0.088,9.722
890252,0.02,-0.114,9.736
890282,0.026,-0.136,9.722
890312,0.032,-0.11,9.724
890342,0.02,-0.118,9.708
890372,0.026,-0.122,9.732
890402,0.02,-0.118,9.738
890432,0.008,-0.094,9.744
890462,0.02,-0.126,9.75
890493,0.034,-0.132,9.742
890523,0.01,-0.096,9.742
890553,0.002,-0.106,9.736
890583,0.004,-0.1,9.744
890613,0.02,-0.118,9.72
890643,0.024,-0.128,9.732
890673,0.028,-0.11,9.76
890702,0.008,-0.124,9.738
890732,0.022,-0.13,9.744
890762,0.002,-0.112,9.742
890793,0.01,-0.102,9.73
890823,0.016,-0.114,9.72
890853,0.034,-0.124,9.73
890883,0.032,-0.104,9.762
890913,0.02,-0.112,9.748
890943,0.026,-0.112,9.728
890973,0.024,-0.112,9.736
891002,0,-0.092,9.732
891032,0.008,-0.112,9.736
891062,0.046,-0.1,9.722
891092,0.04,-0.114,9.69
891122,0.01,-0.114,9.76
891152,0,-0.092,9.738
891182,0.036,-0.1,9.74
891212,0.026,-0.12,9.754
891242,0.044,-0.102,9.73
891272,0.014,-0.106,9.736
891303,0.01,-0.106,9.73
891333,0.018,-0.11,9.75
891363,0.014,-0.106,9.718
891393,0.034,-0.108,9.736
891423,0.044,-0.104,9.748
891453,0.02,-0.11,9.726
891483,0,-0.1,9.742
891513,0.044,-0.108,9.736
